"track_name","track_artist","track_popularity","danceability","energy","speechiness","valence"
"I Done Lost My Good Thang","Terry Wright",34,76,35,4,55
"Slow Roll It","The Love Doctor",36,84,42,22,80
"Just Can't Let Go","Sir Charles Jones",39,80,40,4,61
"Down Home Blues","Z.Z. Hill",37,78,43,5,74
"Cotton Candy","Ronnie Bell",37,53,56,19,74
"If I Back It Up","Nellie Tiger Travis",35,66,46,28,90
"Ghetto Man","Marvin Sease",34,50,44,6,55
"Sugar Shack (Line Dance Remix) (feat. Mz Jackson)","Bigg Robb",34,97,67,16,90
"I Got This Record","Jwonn",0,71,56,5,28
"Running Out Of Lies","Johnnie Taylor",36,61,46,4,70
"Good Loving Will Make You Cry (Remastered)","Carl Marshall",32,70,71,4,45
"Taxi","J. Blackfoot",32,42,47,5,27
"Book of Love","Tucka: King Of Swing",34,81,56,4,91
"For Better or Worse","Sir Charles Jones",36,83,49,9,71
"Boom, Boom, Boom","Willie Clayton",36,63,63,4,61
"Candy Land Remix","Tucka",28,86,67,3,87
"Tonight Is the Night (Pts. 1&2)","Betty Wright",41,78,77,5,84
"I'm Mr. Jody","Marvin Sease",34,74,71,11,60
"Older Woman (feat. Dellanor & Akilah)","Pokey",0,66,46,4,64
"Cheating and Lying","T.K. Soul",26,81,54,8,98
"Sending You A Kiss","Johnnie Taylor",37,80,82,5,89
"Soul Music","Vick Allen",35,66,68,3,88
"Members Only","Bobby ""Blue"" Bland",38,67,48,4,56
"Got No Curfew","Mel Waiters",29,80,90,6,92
"I'm Looking for a Lady","T.K. Soul",36,68,62,5,47
"Sweet Shop","Tucka: King Of Swing",32,76,56,3,97
"Everything's Out In the Open","Johnnie Taylor",34,54,36,5,44
"No Pain, (No Gain)","Betty Wright",45,75,45,8,58
"Touch Your Spot","Tucka",32,78,67,3,96
"Hell at the house","Omar Cunningham",33,78,62,9,78
"Wiggle","Willie Clayton",28,82,61,11,89
"Scat Cat, Here Kitty, Kitty","Billy Soul Bonds",32,75,55,5,65
"Man Enough","Karen Wolfe",34,81,48,4,85
"They Call Me Pokey","Pokey",0,58,53,3,52
"Still My Love","Wilson Meadows",31,50,40,11,81
"The Beauty Shop","Omar Cunningham",32,58,49,22,61
"Bill","Peggy Scott-Adams",31,56,44,10,59
"Just One Lifetime","J. Blackfoot",34,78,47,3,60
"I Believe In You (You Believe In Me)","Johnnie Taylor",38,64,45,5,52
"Caught Up in Doing Wrong","T.K. Soul",32,71,42,14,59
"Chick On the Side Remix","The Louisiana Blues Brothas",0,68,53,7,39
"Can I Change My Mind","Tyrone Davis",38,55,67,5,89
"Teddy Bear","Keith Frank",29,94,46,30,84
"Slow Rock","Tucka",32,77,74,4,96
"Somebody Is Gonna Lose A Good Woman","Jeff Floyd",30,76,42,4,69
"Before I Let Go - Edit/Remastered","Maze",46,78,57,3,96
"It Aint Cheating Til You Get Caught","T.K. Soul",27,69,44,7,47
"P's & Q's","Reggie P",0,80,25,6,71
"Forever Swing (feat. Doug E Fresh)","Tucka: King Of Swing",30,83,58,3,90
"Drinking Again","Avail Hollywood",32,77,56,4,71
"Mr. Right or Mr. Wrong","Peggy Scott-Adams",30,70,64,17,90
"She Made a Freak Out of Me","Lee ""Shot"" Williams",23,86,52,8,81
"Woman To Woman","Shirley Brown",48,60,31,6,47
"My Sidepiece Reply","Various Artists",0,70,67,6,76
"The Repair Man","Tucka",30,93,39,6,81
"Family Reunion Song (feat. Shirley Murdock)","Bigg Robb",26,91,57,4,87
"Down in da Club","Jackie Neal",21,85,53,6,88
"Chech to Check","Omar Cunningham",32,79,69,10,84
"Impala","LaMorris Williams",30,75,60,7,55
"DNA.","Kendrick Lamar",79,64,52,36,42
"Look At Me!","XXXTENTACION",79,76,73,28,35
"Moves","Big Sean",2,80,52,28,35
"First Things First","Stormzy",57,73,81,13,48
"XO TOUR Llif3","Lil Uzi Vert",11,73,75,23,40
"Mask Off","Future",46,83,43,43,28
"Jump (feat. Gizzle)","Lupe Fiasco",55,79,76,24,96
"Everybody","Logic",46,88,94,9,76
"The Let Out","Jidenna",44,74,80,20,56
"Enough","Flume",0,31,80,9,28
"Hendrix","Wyclef Jean",49,69,53,24,37
"Dopamine Lit (Intro)","Lupe Fiasco",43,91,65,10,61
"Pull Up","Rich Homie Quan",20,80,57,6,21
"No Favors","Big Sean",61,48,78,41,34
"Bare Tings","Blvck O",8,80,46,36,9
"Rent Money","Future",17,69,49,37,31
"Bounce Back","Big Sean",76,78,57,14,27
"ROCKABYE BABY (feat. ScHoolboy Q)","Joey Bada$$",55,55,88,37,56
"Brand New","Taylor Gang",47,96,62,8,48
"Treat Me Like Gotti","Brodinski",12,86,53,32,35
"First Day Out","Tee Grizzley",48,59,71,41,37
"Free Up","Derek Wise",26,44,55,7,9
"Bullet","Rich Gang",0,77,45,12,14
"Yeah Yeah (feat. Young Thug)","Travis Scott",0,85,52,26,18
"Slime Shit (feat. Yak Gotti, Duke & Peewee Roscoe)","Young Thug",50,90,42,44,28
"Large Bag","Fly Ty",0,86,62,30,33
"Good Drank 2.0","2 Chainz",40,79,72,18,39
"Thank God I Got It","Desiigner",11,72,62,29,45
"U-RITE","THEY.",0,77,84,10,61
"Chief Don't Run","Jidenna",45,71,55,6,32
"Six Hundred Sixty Six","Klone Ambition",22,82,66,9,17
"Running Man","Rexx Life Raj",33,82,42,40,48
"Go Round (feat. Lil Yachty)","Rahmeen",0,68,55,4,66
"Good Drank","2 Chainz",0,81,76,28,36
"The Conversation","Chynna",33,67,40,38,8
"Disrespectful","GASHI",2,71,55,7,14
"Rolex","Ayo & Teo",3,80,88,4,78
"Portland","Drake",74,92,44,26,35
"Gyalchester","Drake",70,88,39,6,12
"Can't Have Everything","Drake",60,86,57,37,45
"NEVER","JID",0,59,66,32,25
"Dick in Da Dope","Divine Council",40,95,70,20,26
"Decemba (Remix)","Divine Council",40,78,80,28,53
"HUMBLE.","Kendrick Lamar",7,91,59,10,42
"Blessings","Big Sean",66,79,62,28,15
"Halftime","Young Thug",56,71,49,25,17
"Right Now (feat. Future, Fabolous & Jadakiss) - Remix","Uncle Murda",27,81,33,46,14
"Makaveli","DJ Max Star",0,42,62,9,24
"Buddha","G-Eazy",44,74,54,36,42
"Old English","Young Thug",2,81,80,41,74
"Waverunners","dopeSMOOTHIES",0,93,36,37,43
"Psycho","A$AP Ferg",46,54,73,30,21
"That's Not Me","Skepta",3,83,85,24,87
"XXX. FEAT. U2.","Kendrick Lamar",67,57,62,41,29
"SippinTeaInYoHood","XXXTENTACION",0,66,87,25,48
"ELEMENT.","Kendrick Lamar",72,75,70,48,48
"Both (feat. Drake & Lil Wayne) - Remix","Gucci Mane",0,83,49,13,28
"Glen Coco","Chynna",30,84,63,27,67
"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)","Young Thug",57,63,73,20,55
"Running Back (feat. Lil Wayne)","Wale",1,79,68,9,11
"Fish N Grits (feat. Travis Scott)","Wale",0,89,53,13,21
"Sacrifices","Drake",1,90,44,40,53
"Kush Ups (feat. Wiz Khalifa)","Snoop Dogg",42,60,86,8,61
"In The Nights","Damion",0,80,64,31,32
"Deja Vu","J. Cole",70,66,42,41,18
"Smartphone","2 Chainz",35,90,56,50,37
"Still","Brodinski",8,86,58,33,73
"No Target","Brodinski",32,81,60,13,19
"Kill Jill","Big Boi",1,77,53,23,11
"Wrong","A$AP Mob",51,73,74,8,33
"5071","Blvck O",20,73,54,34,4
"XXX","WELL$",24,75,64,22,25
"Y'all Ain't Ready (feat. 2 Chainz)","Mike WiLL Made-It",34,76,70,22,15
"Razzle Dazzle (feat. Future)","Mike WiLL Made-It",39,77,60,9,26
"Gucci On My (feat. 21 Savage, YG & Migos)","Mike WiLL Made-It",60,93,36,23,9
"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)","Mike WiLL Made-It",62,74,56,16,29
"Lookin","Playboi Carti",61,83,57,36,41
"New Choppa","Playboi Carti",65,77,60,6,42
"Eyes Closed","Tyga",0,89,63,34,54
"Draco","Future",9,80,46,5,16
"Get Mine","Bryson Tiller",52,65,53,42,43
"Outlet","Desiigner",63,65,80,7,36
"Wake + Bake","Machine Gun Kelly",42,34,52,7,9
"Glorious","Belly",37,85,50,5,65
"What in XXXTarnation","XXXTENTACION",63,85,59,18,43
"America","Logic",51,84,89,12,60
"Killing Spree","Logic",56,86,76,23,18
"Gospel","Rich Brian",7,68,66,27,22
"Mask Off - Remix","Future",68,73,43,40,22
"Peek A Boo","Lil Yachty",52,96,59,30,30
"RAF","A$AP Mob",65,85,66,24,33
"Run to the Money","D'african",16,67,54,3,8
"Top Lookin Down","Yo Gotti",0,71,70,20,40
"Eject","CHRIS YONGE",35,73,48,14,13
"Selfish - Shlohmo Remix","PnB Rock",43,56,64,5,16
"Consuela","Belly",48,78,53,4,20
"Turn Me Down","GASHI",0,74,82,3,52
"Boss","Lil Pump",52,80,79,4,65
"To the Max","DJ Khaled",0,46,81,24,72
"I'm Your DJ","Miami Bass Tracks",14,79,61,5,30
"Let Me Clear My Throat - Old School Reunion Remix '96","DJ Kool",52,70,90,26,54
"Brand New Funk","DJ Jazzy Jeff & The Fresh Prince",40,88,56,26,40
"Hype","Kid 'N Play",23,90,35,9,70
"Feel The Bass Again","DJ Magic Mike",26,66,29,5,54
"Drop the Bass Beats","Miami Bass Tracks",13,78,43,7,11
"Hear Me Bumpin","Miami Bass Tracks",14,79,62,8,25
"Rollin' With Kid 'N Play","Kid 'N Play",43,76,73,13,74
"I Got Dat Feelin' - Live","DJ Kool",26,81,79,8,53
"Bass Style","Miami Bass Tracks",16,77,57,4,13
"High Sidin'","N2DEEP",17,68,56,6,29
"Ambitionz Az A Ridah","2Pac",77,80,91,22,80
"Pimpin' Lyrics","Ron C",6,86,40,38,43
"Wanna Be A Baller","Lil' Troy",63,87,65,28,63
"Paid In Full","Eric B. & Rakim",51,88,85,23,40
"Dopeman - Remix","N.W.A.",50,82,57,37,69
"Damn It Feels Good to Be a Gangsta - Mixtape Version","Geto Boys",35,77,94,17,64
"Jus Lyke Compton","DJ Quik",45,80,57,18,66
"Same Song - Edit Version","Digital Underground",48,81,69,15,73
"My Bass Hits Harder","Power Supply",11,83,59,24,33
"Down Low ( Remix)","Freak Nasty",25,83,65,22,56
"King Of The Hill","Westside Connection",42,89,82,30,64
"Supersonic","J.J. Fad",47,82,39,20,40
"Sally (That Girl)","Gucci Crew II",41,95,46,24,66
"Shake Whatcha Mama Gave Ya'","Poison Clan",35,79,75,27,62
"Jump","Kris Kross",66,75,74,16,48
"Real Muthaphuckkin' G's","Eazy-E",69,72,85,28,78
"Straight Outta Compton","N.W.A.",70,83,88,15,42
"No Vaseline","Ice Cube",66,78,96,32,54
"Boyz-N-The-Hood","Eazy-E",64,78,48,36,73
"All Eyez On Me","2Pac",75,87,72,25,86
"How Long Will They Mourn Me?","Thug Life",52,81,61,11,45
"Murder Was The Case (Death After Visualizing Eternity) (feat. Dat Nigga Daz)","Snoop Dogg",58,47,83,12,59
"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)","Snoop Dogg",63,84,80,7,70
"Let's Play House","Tha Dogg Pound",52,82,70,8,80
"Tonite","DJ Quik",53,96,45,24,72
"New York, New York","Tha Dogg Pound",55,83,53,30,69
"Dollaz + Sense","DJ Quik",53,83,64,22,46
"Backyard Boogie","Mack 10",53,85,60,23,55
"Playaz Club","Rappin' 4-Tay",52,87,37,18,67
"Pimp Of The Year","Dru Down",48,93,51,26,30
"Can You Feel Me","Dru Down",41,80,73,22,45
"Gettin' It","Too $hort",61,90,41,22,67
"Captain Save a Hoe (feat. The Click, D-Shot, B-Legit & Suga T)","E-40",36,75,51,26,56
"Hurricane","The Click",40,82,48,14,72
"Bow Down","Westside Connection",57,90,46,28,51
"Gittin' Funky","Kid 'N Play",32,85,58,16,43
"Rock The Bells","LL Cool J",51,90,52,14,28
"Sucker M.C.'s (Krush-Groove 1)","Run–D.M.C.",43,92,98,9,88
"Fight The Power","Public Enemy",56,80,58,26,42
"The Message (feat. Melle Mel & Duke Bootee)","Grandmaster Flash & The Furious Five",48,95,61,20,73
"Now That We Found Love","Heavy D & The Boyz",57,74,70,6,68
"Posse On Broadway","Sir Mix-A-Lot",50,82,29,49,52
"Back To The Hotel","N2DEEP",53,69,38,6,30
"Buttermilk Biscuits (Keep On Square Dancin')","Sir Mix-A-Lot",44,94,60,14,64
"My Hooptie","Sir Mix-A-Lot",39,82,63,43,66
"The Formula","The D.O.C.",46,83,63,11,48
"The Ghetto","Too $hort",55,95,35,27,36
"Cocktales","Too $hort",42,84,54,10,24
"How I Could Just Kill a Man","Cypress Hill",59,77,68,7,80
"Ain't No Future In Yo' Frontin'","MC Breed",48,67,76,25,73
"Gotta Get Mine","MC Breed",59,86,52,27,40
"I'm Bad","LL Cool J",47,62,44,24,74
"I Ain't No Joke","Eric B. & Rakim",48,85,71,34,75
"Don't Sweat The Technique","Eric B. & Rakim",53,74,89,16,81
"Don't Believe The Hype","Public Enemy",52,88,47,35,83
"Feel the Bass III","DJ Magic Mike",36,65,19,5,26
"The Booty Dub","DJ Magic Mike",26,81,53,8,60
"Rodeo","95 South",27,88,82,5,66
"Da' Dip","Freak Nasty",50,95,43,30,72
"Shake A Lil' Somethin' (Original Street Mix Nasty)","2 LIVE CREW",34,86,85,20,51
"Kitty-Kitty","69 Boyz",34,78,90,17,58
"Mr. Big Stuff - Remix","Heavy D & The Boyz",28,72,48,37,73
"My Prerogative","Bobby Brown",56,75,62,5,68
"Sally","Stetsasonic",33,92,79,26,79
"Let's Get It Started","MC Hammer",35,96,72,5,81
"Turn This Mutha Out","MC Hammer",35,87,97,4,90
"Gangsta's Paradise","Coolio",80,65,51,6,39
"Hold It Now, Hit It","Beastie Boys",46,79,74,36,89
"Da' Butt - From The ""School Daze"" Soundtrack","E.U.",39,66,89,6,75
"Nothing But Bass","Bass Patrol",24,58,42,12,4
"I'm Your Pusher / Pusherman","Ice-T",37,94,49,16,64
"Growin' Up In the Hood","Compton's Most Wanted",33,86,66,27,62
"Hand On the Pump","Cypress Hill",49,83,66,30,57
"Sometimes I Rhyme Slow","Nice & Smooth",51,80,56,12,69
"Knockin' Boots","Candyman",43,94,66,29,66
"The Rhythm","Kwame",29,93,45,32,91
"30's-N-Lows","Bass Patrol",18,74,48,22,33
"Cars That Go Boom","L'Trimm",35,92,69,12,21
"Freaks of the Industry","Digital Underground",42,67,43,26,38
"Ghetto Cowboy","Mo Thugs",43,70,57,18,20
"Born To Roll - Jeep Ass Niguh Remix","Masta Ace Incorporated",39,80,66,25,67
"Uptown (feat. Bun B & Lil Wayne)","Drake",62,42,82,34,42
"All Girls Are The Same","Juice WRLD",3,67,45,30,22
"Shoota (feat. Lil Uzi Vert)","Playboi Carti",77,67,65,20,48
"Truffle Butter","Nicki Minaj",64,89,67,5,49
"Mystery Repeats","Pete Philly & Perquisite",0,81,68,8,89
"Weed Nap (Prod. by Sayez)","Boaz",0,52,90,41,60
"Roll Up","Wiz Khalifa",38,52,80,19,60
"Marijuana - Album Version (Edited)","Kid Cudi",0,67,39,3,55
"Black Ice","Boaz",0,69,78,7,43
"Big Poppa - 2005 Remaster","The Notorious B.I.G.",74,78,58,27,76
"Erase Me - Main","Kid Cudi",1,68,64,12,84
"Alles Wat Ik Wil","Winne",32,66,75,9,62
"Pursuit Of Happiness (Nightmare)","Kid Cudi",43,63,58,4,29
"Lost Ones","J. Cole",3,73,78,29,68
"The Morning","Raekwon",45,67,65,34,19
"No Church In The Wild","JAY-Z",70,65,75,10,57
"Good Life","Kanye West",3,46,79,32,48
"Work Hard, Play Hard","Wiz Khalifa",48,82,68,7,47
"Clique","Kanye West",64,66,54,32,31
"Ms. Hill","Talib Kweli",0,48,67,42,28
"How We Do","The Game",10,86,65,25,64
"Ali Bomaye","The Game",3,38,69,45,24
"Beautiful","Snoop Dogg",64,89,74,13,96
"P.I.M.P. - Snoop Dogg Remix","50 Cent",56,68,70,35,83
"Outta Control - Remix","50 Cent",1,77,60,26,54
"GATman And Robbin","50 Cent",0,69,91,17,63
"OK, You're Right","50 Cent",0,53,60,9,45
"Twijfel","Fresku",44,65,92,32,45
"Tante Lien","De Jeugd Van Tegenwoordig",41,77,65,19,70
"Buma In Mijn Zak","De Jeugd Van Tegenwoordig",17,73,59,20,56
"Big City Life","Mattafix",65,69,62,9,73
"Happy Birthday","Flipsyde",3,55,65,23,29
"Drank in My Cup","Kirko Bangz",62,45,63,30,23
"Rack City","Tyga",6,93,33,39,25
"Hard Knock Life (The Ghetto Anthem) - Radio Edit","JAY-Z",4,78,65,35,60
"Swimming Pools (Drank)","Kendrick Lamar",7,66,45,26,20
"A.D.H.D","Kendrick Lamar",15,61,80,24,58
"No Sleep","Wiz Khalifa",65,65,71,6,77
"Watskeburt?!","De Jeugd Van Tegenwoordig",55,95,49,23,59
"Immortal - Edited Version","Kid Cudi",0,58,91,16,56
"Harder Than You Think","Public Enemy",61,48,85,27,77
"De Formule","De Jeugd Van Tegenwoordig",0,73,78,10,80
"Tak Takie","U-niq",15,50,78,46,84
"Doag","Great Minds",34,80,81,4,63
"What's Up Fatlip","Fatlip",0,79,65,34,51
"Hypnotize - 2007 Remaster","The Notorious B.I.G.",68,90,69,28,63
"Check Yo Self - Remix","Ice Cube",69,93,74,25,77
"När solen går ner","AKI",55,81,78,16,76
"The Format","AZ",0,64,81,28,82
"21 Questions","50 Cent",69,58,81,32,91
"Picasso Baby","JAY-Z",0,56,74,30,69
"F*ckwithmeyouknowigotit","JAY-Z",1,78,46,29,26
"Ima Boss (feat. Rick Ross)","Meek Mill",65,37,87,27,33
"Aston Martin Music","Rick Ross",2,57,58,21,40
"Put On","Jeezy",2,65,77,4,27
"F.U.T.W.","JAY-Z",0,54,65,26,35
"Xxplosive","Dr. Dre",5,77,88,11,94
"I Need A Doctor","Dr. Dre",9,59,93,47,44
"The Next Episode","Dr. Dre",18,92,89,25,31
"Je Weet Et","Thc",0,65,88,36,91
"Een Barkie","De Jeugd Van Tegenwoordig",0,66,62,3,69
"Dikke Tieten","Kempi",25,60,81,3,54
"Strange Clouds - feat. Lil Wayne","B.o.B",0,68,71,21,84
"If I Can't","50 Cent",65,89,63,28,86
"We Zijn 1","Winne",19,69,76,9,59
"Started From the Bottom","Drake",1,79,54,18,46
"Tijdmachine - Edit","Dio",47,88,87,26,68
"The Motto","Drake",10,77,43,35,35
"Have It Your Way","Rich Gang",41,69,84,13,42
"Why We Thugs","Ice Cube",62,76,60,42,66
"Drop It Like It's Hot","Snoop Dogg",7,91,55,20,62
"Like Toy Soldiers","Eminem",5,52,77,36,40
"Crack A Bottle","Eminem",0,60,81,14,36
"Hate It Or Love It","The Game",47,80,78,21,42
"Empire State Of Mind [Jay-Z + Alicia Keys]","JAY-Z",7,50,93,40,82
"Already Home [Jay-Z + Kid Cudi]","JAY-Z",0,55,87,30,62
"Forever","Drake",2,46,92,35,53
"Superstar","Lupe Fiasco",65,57,82,36,47
"On My Level (feat. Too $hort)","Wiz Khalifa",64,72,51,13,21
"Wake Up","Wiz Khalifa",14,72,59,19,68
"Mockingbird","Eminem",13,62,67,28,23
"Hold On, We're Going Home","Drake",1,76,45,7,33
"Hands On the Wheel (feat. a$Ap Rocky)","ScHoolboy Q",1,65,78,10,18
"Goldie","A$AP Rocky",5,68,84,24,74
"My Life","The Game",1,67,77,35,38
"Regulate","Warren G",0,86,67,22,79
"Martians Vs Goblins","The Game",1,48,81,26,64
"Touch It - Album Version/Vocal Up","Busta Rhymes",0,66,55,37,44
"In Da Club","50 Cent",71,90,72,35,80
"Rap God","Eminem",12,71,84,31,61
"Stan","Eminem",14,78,74,21,53
"Switch Lanes","Tyga",64,76,85,23,46
"Soundtrack 2 My Life","Kid Cudi",44,47,75,12,47
"Donald Trump","Mac Miller",68,64,90,12,84
"Mojo So Dope","Kid Cudi",1,61,76,8,85
"Bandz A Make Her Dance (feat. Lil' Wayne & 2 Chainz)","Juicy J",65,87,74,28,58
"Buzzin - Remix Explicit Version","Mann",1,72,94,16,55
"N.Y. State of Mind","Nas",66,66,91,22,89
"Juicy - 2005 Remaster","The Notorious B.I.G.",76,89,82,25,78
"I Got 5 On It","Luniz",73,60,71,36,58
"They Reminisce Over You (T.R.O.Y.)","Pete Rock & C.L. Smooth",60,76,68,16,67
"Shimmy Shimmy Ya","Ol' Dirty Bastard",65,81,48,24,19
"I Used to Love H.E.R.","Common",53,74,44,40,59
"Jump Around","House Of Pain",74,85,71,8,82
"Hip Hop Hooray","Naughty By Nature",64,86,64,10,76
"The World Is Yours","Nas",58,68,79,14,54
"93 'Til Infinity","Souls Of Mischief",68,59,67,41,69
"Survival of the Fittest","Mobb Deep",68,81,70,27,24
"Insane in the Brain","Cypress Hill",70,90,61,21,77
"Who Am I (What's My Name)?","Snoop Dogg",70,69,83,5,69
"Fu-Gee-La","Fugees",10,68,50,14,40
"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)","Craig Mack",57,52,85,43,80
"Electric Relaxation","A Tribe Called Quest",52,85,42,42,65
"C.R.E.A.M.","Wu-Tang Clan",72,48,55,37,58
"Put It On","Big L",61,71,62,21,80
"Chief Rocka","Lords Of The Underground",59,89,72,30,66
"Sound of da Police","KRS-One",62,79,95,29,32
"Protect Ya Neck","Wu-Tang Clan",66,82,55,39,81
"Slam","Onyx",59,88,71,35,72
"MC's Act Like They Don't Know","KRS-One",58,86,80,24,86
"Mass Appeal","Gang Starr",61,81,73,25,62
"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)","Raekwon",63,68,90,29,72
"Real Hip-Hop","Das EFX",58,86,76,25,95
"Bucktown","Smif-N-Wessun",58,77,84,24,65
"They Want EFX","Das EFX",55,76,46,36,60
"Who Got Da Props","Black Moon",55,80,65,18,26
"Shadowboxin'","GZA",64,70,64,39,72
"Shame On a Nigga","Wu-Tang Clan",60,89,47,36,40
"Represent","Nas",51,70,83,32,62
"Brooklyn Zoo","Ol' Dirty Bastard",59,70,70,46,62
"Hip 2 Da Game","Lord Finesse",61,77,75,32,53
"Livin' Proof","Group Home",51,81,76,30,76
"Tonight's Da Night","Redman",62,70,69,38,87
"Come Clean - E New Y Radio","Jeru The Damaja",50,81,78,29,60
"Leflaur Leflah Eshkoshka","Heltah Skeltah",44,81,56,35,70
"Give Up the Goods (Just Step) (feat. Big Noyd)","Mobb Deep",56,78,60,34,53
"MVP","Big L",53,86,67,16,67
"Wrong Side of da Tracks","Artifacts",53,86,56,30,63
"I Like It (I Wanna Be Where You Are)","Grand Puba",59,86,64,16,76
"Me Or The Papes","Jeru The Damaja",58,69,60,37,80
"How Many MC's...","Black Moon",40,88,66,17,60
"Supa Star","Group Home",42,71,78,28,38
"Danger - Original Mix","Blahzay Blahzay",46,72,74,40,80
"Mad Izm","Channel Live",41,90,66,27,81
"Next Level - Nyte Time Mix","Showbiz & A.G.",53,87,50,29,49
"Baknaffek","Das EFX",45,81,53,19,25
"Liquid Swords","GZA",59,80,62,39,35
"Funky Child","Lords Of The Underground",50,86,64,20,53
"C'Mon wit da Git Down","Artifacts",56,65,61,31,74
"The What","The Notorious B.I.G.",58,62,71,41,73
"Ill Street Blues (Illest Version)","Kool G Rap & DJ Polo",29,72,57,46,92
"Sound Bwoy Bureill","Smif-N-Wessun",52,71,30,82,69
"No Fear","O.G.C.",35,87,51,31,78
"Crooklyn - Crooklyn/Soundtrack Version","Crooklyn Dodgers",53,84,48,22,60
"It's Been A Long Time","Rakim",54,74,55,30,86
"I Got Cha Opin","Black Moon",36,73,40,24,54
"360 (What Goes Around)","Grand Puba",37,94,36,16,85
"Street Struck","Big L",48,77,63,43,68
"Bring Da Ruckus","Wu-Tang Clan",63,79,63,36,52
"Clan In Da Front","Wu-Tang Clan",54,71,62,30,59
"Wu-Tang: 7th Chamber","Wu-Tang Clan",56,86,49,41,62
"Can It Be All So Simple / Intermission","Wu-Tang Clan",52,68,25,56,44
"Da Mystery of Chessboxin'","Wu-Tang Clan",60,92,39,42,36
"Method Man","Wu-Tang Clan",60,90,52,31,60
"Tearz","Wu-Tang Clan",58,91,39,36,43
"Things Done Changed - 2005 Remaster","The Notorious B.I.G.",52,74,63,25,12
"Gimme the Loot - 2005 Remaster","The Notorious B.I.G.",64,71,65,44,69
"Machine Gun Funk - 2006 Remaster","The Notorious B.I.G.",60,84,74,30,30
"Warning - 2005 Remaster","The Notorious B.I.G.",60,59,78,46,43
"Ready to Die - 2006 Remaster","The Notorious B.I.G.",56,72,84,31,48
"One More Chance - 2005 Remaster","The Notorious B.I.G.",53,85,70,34,70
"Everyday Struggle - 2005 Remaster","The Notorious B.I.G.",57,91,72,27,44
"Unbelievable - 2005 Remaster","The Notorious B.I.G.",52,77,79,26,77
"Who Shot Ya? - 2005 Remaster","The Notorious B.I.G.",68,83,69,22,62
"Return of the Mecca","Pete Rock & C.L. Smooth",29,73,50,29,60
"For Pete's Sake","Pete Rock & C.L. Smooth",34,67,70,17,78
"Ghettos of the Mind","Pete Rock & C.L. Smooth",26,73,79,13,89
"Act Like You Know","Pete Rock & C.L. Smooth",27,76,75,13,82
"Straighten It Out","Pete Rock & C.L. Smooth",52,77,66,25,79
"Wig Out","Pete Rock & C.L. Smooth",25,77,73,19,63
"Anger in the Nation","Pete Rock & C.L. Smooth",24,80,65,32,64
"On and On","Pete Rock & C.L. Smooth",26,70,71,37,59
"Can't Front on Me","Pete Rock & C.L. Smooth",27,68,78,9,78
"The Basement (feat. Heavy D, Rob-O, Grap & Dida)","Pete Rock & C.L. Smooth",31,65,75,37,72
"Skins (feat. Grand Puba)","Pete Rock & C.L. Smooth",25,76,69,36,86
"Put Your Head Out","House Of Pain",40,83,68,26,79
"Top O' the Morning to Ya","House Of Pain",48,83,62,11,73
"House and the Rising Son","House Of Pain",36,90,52,11,55
"Shamrocks and Shenanigans","House Of Pain",43,90,61,29,21
"Don't Tell 'Em","Jeremih",6,85,53,11,40
"Why You Always Hatin?","YG",1,93,36,59,39
"Bitch Betta Have My Money","Tyga",47,85,74,19,67
"Panda","Desiigner",11,68,73,44,24
"Don't Mind","Kent Jones",66,46,77,34,69
"All In My Head (Flex) (feat. Fetty Wap)","Fifth Harmony",66,69,79,5,76
"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony",78,80,58,4,59
"Wake Up","Fetty Wap",0,65,67,18,53
"I'm Different","2 Chainz",59,94,70,6,70
"Faded","Tyga",60,83,67,19,34
"Don't Let Me Down","The Chainsmokers",81,53,87,17,42
"Ni**as In Paris","JAY-Z",77,79,86,32,77
"Broccoli","DRAM",69,89,52,13,71
"Wicked","Future",62,72,68,7,20
"For Free","DJ Khaled",56,92,57,20,50
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",9,83,61,7,71
"Where Ya At","Future",67,81,45,34,19
"Watch Me (Whip / Nae Nae)","Silentó",68,82,76,12,96
"Controlla","Drake",10,61,48,25,35
"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",52,75,88,7,75
"Work","Rihanna",31,72,53,9,56
"I Got the Keys (feat. Jay-Z & Future)","DJ Khaled",47,69,62,13,18
"The Motto","Drake",73,77,44,36,39
"Blasé (feat. Future & Rae Sremmurd)","Ty Dolla $ign",60,90,64,5,29
"Clique","Kanye West",4,54,56,34,34
"Really Really","Kevin Gates",70,76,67,9,28
"2 Phones","Kevin Gates",70,90,68,36,55
"Afro Trap Pt. 3 (Champions League)","MHD",3,96,73,40,56
"Afro Trap Pt. 4 (Fais le mouv)","MHD",0,95,76,27,84
"We Dem Boyz","Wiz Khalifa",67,72,86,5,52
